Name,MC,Attr,Ref,LABEL
ddsm.ecore_results.txt,23,59,18,model
DebugSeq.ecore_results.txt,51,22,78,model
Delphi.ecore_results.txt,112,30,192,model
demo.ecore_results.txt,3,12,3,model
dependability2stochasticpetrinet.ecore_results.txt,5,0,13,model
DependencyBetweenRuntimeConcepts.ecore_results.txt,5,5,10,model
design.ecore_results.txt,5,7,6,model
DFA.ecore_results.txt,7,5,8,model
DFAAutomaton.ecore_results.txt,4,5,6,model
dfamodel.ecore_results.txt,3,4,6,model
Dfs.ecore_results.txt,5,5,11,model
Dft.ecore_results.txt,5,8,6,model
DG.ecore_results.txt,40,44,52,model
dgf.ecore_results.txt,9,4,9,model
di.ecore_results.txt,14,29,21,model
DiagonasticModel.ecore_results.txt,24,55,25,model
diagram.ecore_results.txt,45,60,84,model
diagraph.ecore_results.txt,14,20,19,model
diastyle.ecore_results.txt,6,23,5,model
DictionaryLanguage.ecore_results.txt,5,6,8,model
dinkiemodel.ecore_results.txt,29,27,34,model
DirectedGraph.ecore_results.txt,4,2,6,model
DML_DDL.ecore_results.txt,16,27,13,model
DMM.ecore_results.txt,6,8,6,model
dmx.ecore_results.txt,29,23,39,model
do.ecore_results.txt,3,4,1,model
DocBook.ecore_results.txt,4,3,10,model
DOcl.ecore_results.txt,2,1,1,model
documentation.ecore_results.txt,13,7,12,model
Dom.ecore_results.txt,59,14,77,model
domain.ecore_results.txt,171,262,290,model
DomainDsl.ecore_results.txt,8,10,6,model
Domainmodel.ecore_results.txt,6,5,5,model
DomDsl.ecore_results.txt,75,106,148,model
Doors.ecore_results.txt,5,15,5,model
Dot.ecore_results.txt,8,3,9,model
draw2d.ecore_results.txt,17,42,11,model
Drn.ecore_results.txt,32,46,39,model
drone.ecore_results.txt,19,7,46,model
drones.ecore_results.txt,9,24,8,model
dronesSimulation.ecore_results.txt,7,5,15,model
dronesStructure.ecore_results.txt,14,17,27,model
dscDiagramModel.ecore_results.txt,6,14,6,model
DSL.ecore_results.txt,4,2,6,model
DSL2CoCo.ecore_results.txt,8,9,12,model
DslModel.ecore_results.txt,121,107,199,model
DSLPolicies.ecore_results.txt,8,9,8,model
DSML.ecore_results.txt,13,8,22,model
dXP.ecore_results.txt,10,26,12,model
dynamicFaultTree.ecore_results.txt,7,5,11,model
e2.ecore_results.txt,8,18,15,model
ea.ecore_results.txt,10,11,12,model
easyflow.ecore_results.txt,37,102,58,model
eavlibrary.ecore_results.txt,5,10,6,model
eclectic.frontend.ecore_results.txt,102,61,145,model
Ecore.ecore_results.txt,19,33,48,model
ecoreJavascriptDelegatesTest.ecore_results.txt,2,3,6,model
ed2.ecore_results.txt,7,11,8,model
edatatypeColumn.ecore_results.txt,1,4,0,model
edd.ecore_results.txt,3,3,2,model
editormodel.ecore_results.txt,12,23,32,model
education.ecore_results.txt,3,5,2,model
eel.ecore_results.txt,16,17,13,model
effbd101.ecore_results.txt,8,5,10,model
effbd103.ecore_results.txt,8,8,11,model
effbd2.ecore_results.txt,10,7,16,model
effbdpattern.ecore_results.txt,27,38,62,model
efinder.ecore_results.txt,26,12,28,model
EFM.ecore_results.txt,18,12,34,model
efsm.ecore_results.txt,8,17,10,model
ej-ast.ecore_results.txt,72,16,120,model
elements.ecore_results.txt,8,7,29,model
elkgraph.ecore_results.txt,11,20,20,model
emap.ecore_results.txt,6,5,8,model
emf.ecore_results.txt,5,4,8,model
emf.uuid.library.example.ecore_results.txt,3,3,4,model
emfta.ecore_results.txt,3,12,4,model
emftest.ecore_results.txt,4,3,4,model
EMFWebApplication2.ecore_results.txt,11,10,12,model
Emig.ecore_results.txt,20,17,36,model
EMOF.ecore_results.txt,14,14,19,model
employee.ecore_results.txt,2,3,1,model
EmployeeDsl.ecore_results.txt,2,3,1,model
Entities.ecore_results.txt,5,4,4,model
EntitiesDsl.ecore_results.txt,4,2,3,model
Entity.ecore_results.txt,5,1,6,model
EntityDsl.ecore_results.txt,13,21,11,model
EntityRelationship.ecore_results.txt,15,21,51,model
Eol.ecore_results.txt,51,25,85,model
EOL_Expressions.ecore_results.txt,20,10,25,model
EOL_Statements.ecore_results.txt,15,0,27,model
EOL_Types.ecore_results.txt,6,5,4,model
EPDemo.ecore_results.txt,4,8,5,model
EpsilonExecutionTrace.ecore_results.txt,10,8,7,model
epub.ecore_results.txt,5,4,6,model
ER.ecore_results.txt,5,6,16,model
error3.ecore_results.txt,11,8,13,model
error4.ecore_results.txt,4,3,6,model
eShop.ecore_results.txt,5,9,8,model
esm.ecore_results.txt,3,2,7,model
esof_homework4_q2.ecore_results.txt,3,14,3,model
eSport.ecore_results.txt,15,26,50,model
EssentialOCL.ecore_results.txt,30,7,52,model
EssentialOCLCS.ecore_results.txt,29,10,39,model
EssentialOCLCST.ecore_results.txt,19,9,28,model
etatma.ecore_results.txt,3,3,6,model
etrace.ecore_results.txt,4,6,9,model
etunit.ecore_results.txt,9,39,17,model
EventAutomatonModel.ecore_results.txt,21,9,29,model
EvlDSL.ecore_results.txt,2,1,1,model
Evolved.ecore_results.txt,2,2,1,model
evolved_metamodel_ligh.ecore_results.txt,16,10,13,model
evolved_minimal_metamodel.ecore_results.txt,7,3,12,model
evoPetrinet.ecore_results.txt,10,3,11,model
evoWebapp.ecore_results.txt,14,10,17,model
Example.ecore_results.txt,2,1,1,model
ExecTraces.ecore_results.txt,7,15,8,model
executablemodelingprofile.ecore_results.txt,38,8,41,model
ExecutionTrace.ecore_results.txt,21,23,23,model
exercises.ecore_results.txt,4,5,4,model
exercise_3.ecore_results.txt,9,6,9,model
Exp.ecore_results.txt,2,1,2,model
EXPRESS.ecore_results.txt,137,68,270,model
expression.ecore_results.txt,2,2,3,model
ExpressionAbstract.ecore_results.txt,5,4,3,model
ExpressionAST.ecore_results.txt,5,4,6,model
ExpressionDSL.ecore_results.txt,26,12,32,model
expressions.ecore_results.txt,9,3,8,model
ExpressionWithSynthesizedAttributes.ecore_results.txt,5,2,4,model
ext.ecore_results.txt,14,9,24,model
Extended.ecore_results.txt,11,21,8,model
ExtendedFamilies.ecore_results.txt,2,4,4,model
ExtendedPO2.ecore_results.txt,8,20,11,model
extjs.ecore_results.txt,10,30,5,model
extlibrary.ecore_results.txt,13,15,17,model
extlibraryLeft.ecore_results.txt,13,15,14,model
extlibraryOrigin.ecore_results.txt,1,2,0,model
extlibraryprofile.ecore_results.txt,0,0,0,model
extmetadata.ecore_results.txt,3,1,2,model
extralazy.ecore_results.txt,2,3,1,model
Families.ecore_results.txt,2,2,4,model
Families2.ecore_results.txt,3,4,7,model
Families2Persons.ecore_results.txt,1,2,2,model
Families_Extended.ecore_results.txt,10,3,21,model
Family.ecore_results.txt,6,3,10,model
familygraph.ecore_results.txt,3,3,5,model
familyLeft1.ecore_results.txt,4,9,6,model
familyLeft2.ecore_results.txt,6,5,8,model
FamilyRegister.ecore_results.txt,3,2,5,model
familyRight.ecore_results.txt,5,10,8,model
familytree.ecore_results.txt,5,5,8,model
farmbot_modeling.ecore_results.txt,14,25,5,model
farrusco.ecore_results.txt,12,15,10,model
FaultTree.ecore_results.txt,9,11,22,model
fcore.ecore_results.txt,17,16,43,model
fds.ecore_results.txt,7,1,11,model
FeaMo.ecore_results.txt,10,4,18,model
feature.ecore_results.txt,14,9,26,model
FeatureConfiguration.ecore_results.txt,7,19,10,model
featureDiagram.ecore_results.txt,6,5,13,model
FeatureMetaModel.ecore_results.txt,2,6,1,model
featuremodel.ecore_results.txt,6,5,7,model
featureModelMetamodel.ecore_results.txt,9,11,11,model
Features.ecore_results.txt,3,9,4,model
featuretree.ecore_results.txt,2,1,2,model
feature_old.ecore_results.txt,16,13,22,model
fiacre.ecore_results.txt,61,25,86,model
FIDL.ecore_results.txt,27,21,32,model
finalStateMachine.ecore_results.txt,3,3,4,model
FiniteStateMachines.ecore_results.txt,3,5,5,model
fl.ecore_results.txt,8,7,12,model
flinkie2.ecore_results.txt,19,11,28,model
FlowDesigner.ecore_results.txt,7,10,5,model
fm-0.4.0.ecore_results.txt,5,31,14,model
FM.ecore_results.txt,8,8,8,model
fmp.ecore_results.txt,7,10,16,model
fMS.ecore_results.txt,3,3,4,model
fm_mm.ecore_results.txt,8,6,13,model
Font.ecore_results.txt,2,1,1,model
fopramodel.ecore_results.txt,9,14,17,model
form.ecore_results.txt,11,17,9,model
forms.ecore_results.txt,18,22,26,model
foundation.ecore_results.txt,37,34,88,model
fragdial.ecore_results.txt,13,16,17,model
fragdial101.ecore_results.txt,11,16,14,model
FrameWeb.ecore_results.txt,27,35,36,model
friends.ecore_results.txt,2,2,3,model
frontend.core.ecore_results.txt,44,31,51,model
fsa.ecore_results.txt,3,5,6,model
fsm.ecore_results.txt,3,3,11,model
fsmcore.ecore_results.txt,5,2,9,model
Fsml.ecore_results.txt,3,4,3,model
FSMLanguageMT.ecore_results.txt,3,4,7,model
FSMtest.ecore_results.txt,12,10,17,model
fsmUml.ecore_results.txt,9,2,19,model
FsmWithMethods.ecore_results.txt,5,2,9,model
fsm_tp.ecore_results.txt,3,5,5,model
fta.ecore_results.txt,3,3,2,model
ftp.ecore_results.txt,28,22,45,model
fUML.ecore_results.txt,91,61,168,model
fumltracemmNEWFormat.ecore_results.txt,295,11,833,model
fuzzyAutomaton.ecore_results.txt,13,18,18,model
fw-test.ecore_results.txt,4,7,3,model
fxg.ecore_results.txt,33,270,37,model
gametournament.ecore_results.txt,6,12,9,model
gbind.ecore_results.txt,72,35,125,model
gemoc.ecore_results.txt,3,4,6,model
Genealogy.ecore_results.txt,2,3,3,model
genericity_dsl.ecore_results.txt,44,25,80,model
genericSql.ecore_results.txt,8,10,13,model
GenSql.ecore_results.txt,5,4,8,model
geoff.ecore_results.txt,15,24,16,model
geppettoModel.ecore_results.txt,77,68,80,model
gfsm.ecore_results.txt,4,3,8,model
GiraffeDSL.ecore_results.txt,36,68,28,model
glsp-graph.ecore_results.txt,19,29,13,model
gmf_all.ecore_results.txt,106,121,147,model
Go.ecore_results.txt,36,22,51,model
goodreads.ecore_results.txt,4,5,7,model
Gpfl.ecore_results.txt,27,12,41,model
gradingsystem.ecore_results.txt,9,8,8,model
grammar.ecore_results.txt,6,3,13,model
GrammarSql.ecore_results.txt,6,4,7,model
graph.ecore_results.txt,4,2,6,model
graph1.ecore_results.txt,3,1,4,model
graph2.ecore_results.txt,3,1,3,model
graph3.ecore_results.txt,2,1,2,model
GraphConstraint.ecore_results.txt,12,7,28,model
graphdom.ecore_results.txt,3,12,4,model
GraphEditorModel.ecore_results.txt,3,2,7,model
graphgenerators.ecore_results.txt,5,15,0,model
graphgrammar.ecore_results.txt,20,10,52,model
graphiti.ecore_results.txt,28,51,41,model
GraphMetaM.ecore_results.txt,4,14,7,model
GraphML.ecore_results.txt,11,13,16,model
graphO.ecore_results.txt,4,8,3,model
GraphOperations.ecore_results.txt,6,6,10,model
graphpattern.ecore_results.txt,24,11,50,model
Graphql.ecore_results.txt,5,8,3,model
Graphs.ecore_results.txt,4,2,6,model
GraphsConcept.ecore_results.txt,0,0,0,model
GraphvizDot.ecore_results.txt,10,11,12,model
graph_Pattern_Matching_Master_Project.ecore_results.txt,4,6,8,model
Greetings.ecore_results.txt,2,1,1,model
grudi.ecore_results.txt,4,20,3,model
gseq.ecore_results.txt,15,4,23,model
GSML.ecore_results.txt,8,8,11,model
gtrace.ecore_results.txt,5,2,11,model
gv.ecore_results.txt,18,13,15,model
GWPNV1.ecore_results.txt,3,0,8,model
GWPNV2.ecore_results.txt,5,0,16,model
GWPNV3.ecore_results.txt,5,0,12,model
gx10.ecore_results.txt,23,4,33,model
gyro.ecore_results.txt,11,15,7,model
hairDressersRegSys.ecore_results.txt,12,31,12,model
haxe.ecore_results.txt,76,33,109,model
hbmapkeys.ecore_results.txt,5,4,6,model
Hello.ecore_results.txt,2,1,1,model
hello121.ecore_results.txt,7,6,10,model
hello123.ecore_results.txt,8,8,8,model
HelloScoping.ecore_results.txt,4,2,5,model
HelloWeb.ecore_results.txt,16,16,3,model
helloworld.ecore_results.txt,3,2,2,model
helloworld1.ecore_results.txt,2,1,2,model
helloworld123.ecore_results.txt,5,4,5,model
helloworld150.ecore_results.txt,7,8,9,model
helloworld2.ecore_results.txt,3,2,2,model
HelloWorldDsl.ecore_results.txt,2,1,1,model
helloworldext.ecore_results.txt,3,2,2,model
henshin-080.ecore_results.txt,22,9,48,model
henshin.ecore_results.txt,21,10,47,model
Henshin_text.ecore_results.txt,57,27,70,model
hermes.ecore_results.txt,7,5,5,model
hfsm-required.ecore_results.txt,5,1,8,model
hierlibrary.ecore_results.txt,4,5,4,model
hockeyleague.ecore_results.txt,10,41,10,model
HotelManagementClassDiagram.ecore_results.txt,18,51,20,model
house.ecore_results.txt,19,13,9,model
Household.ecore_results.txt,3,2,5,model
HSM.ecore_results.txt,4,3,10,model
HSV2HLS.ecore_results.txt,1,2,4,model
HTML.ecore_results.txt,15,32,11,model
html5.ecore_results.txt,15,17,9,model
hydraConstraints.ecore_results.txt,15,4,16,model
idm.ecore_results.txt,3,3,6,model
iDM_Test.ecore_results.txt,3,3,7,model
il-expr.ecore_results.txt,10,6,12,model
imp.ecore_results.txt,15,9,16,model
ImperativeOCLCS.ecore_results.txt,24,6,34,model
Implementation.ecore_results.txt,24,73,32,model
imported_model.ecore_results.txt,2,1,1,model
imports.ecore_results.txt,3,5,4,model
InfoProject.ecore_results.txt,93,61,36,model
infosgi.ecore_results.txt,37,188,80,model
interaction.ecore_results.txt,6,4,27,model
InternalSM.ecore_results.txt,8,9,17,model
InterpretedStateMachinesMT.ecore_results.txt,8,2,17,model
InvalidAttachedFsm.ecore_results.txt,4,3,10,model
IOAutomaton.ecore_results.txt,8,5,14,model
IOI.ecore_results.txt,5,6,7,model
iot.ecore_results.txt,16,22,12,model
IoT2.ecore_results.txt,78,40,116,model
IoT2MT.ecore_results.txt,82,41,125,model
IOTConnector.ecore_results.txt,29,22,40,model
IotDsl.ecore_results.txt,21,14,30,model
IotSystem.ecore_results.txt,10,8,10,model
iotw.ecore_results.txt,18,83,13,model
ioT_metamodel.ecore_results.txt,37,28,65,model
ir.ecore_results.txt,65,31,106,model
iritptn.ecore_results.txt,5,7,8,model
issue6.ecore_results.txt,0,0,0,model
itemflow101.ecore_results.txt,7,4,8,model
iTrace.ecore_results.txt,13,25,19,model
jamopp.ecore_results.txt,98,15,105,model
java.ecore_results.txt,6,2,6,model
java5.ecore_results.txt,78,39,152,model
JavaAbstractSyntax.ecore_results.txt,85,47,154,model
Javali.ecore_results.txt,28,11,54,model
javaMetaModel.ecore_results.txt,10,10,8,model
javaSimplified.ecore_results.txt,30,12,54,model
JavaVMTypes.ecore_results.txt,38,28,33,model
javaz.ecore_results.txt,8,25,10,model
jcl.ecore_results.txt,44,30,27,model
JDTAST.ecore_results.txt,101,71,179,model
JDTAST2.ecore_results.txt,17,25,24,model
jdtmm.ecore_results.txt,15,30,32,model
jgrapht.ecore_results.txt,3,2,4,model
JKind.ecore_results.txt,36,14,55,model
JMM.ecore_results.txt,8,4,8,model
JPA.ecore_results.txt,10,21,5,model
jpdl31.ecore_results.txt,44,125,155,model
jpdl32.ecore_results.txt,30,136,136,model
jsflibraryregistry.ecore_results.txt,4,11,4,model
jsm.ecore_results.txt,44,22,54,model
JTL.ecore_results.txt,78,33,122,model
junit.ecore_results.txt,5,7,9,model
Junitresult.ecore_results.txt,7,30,6,model
JUnitTest.ecore_results.txt,1,1,0,model
k3fsm.ecore_results.txt,3,8,9,model
KennedyWarrenAS.ecore_results.txt,4,5,3,model
KennedyWarrenCS.ecore_results.txt,3,1,3,model
kermeta.ecore_results.txt,51,37,85,model
kernel.ecore_results.txt,17,4,24,model
kfsm.ecore_results.txt,4,4,9,model
KiamaAS.ecore_results.txt,4,3,3,model
KiamaCS.ecore_results.txt,4,1,4,model
klang-expr.ecore_results.txt,14,8,12,model
KM3.ecore_results.txt,12,8,18,model
KM3_fixed.ecore_results.txt,0,0,0,model
kmLogo.ecore_results.txt,23,9,27,model
Kobold.ecore_results.txt,2,1,1,model
krendering.ecore_results.txt,40,74,25,model
ktest400.ecore_results.txt,6,6,8,model
ktest401.ecore_results.txt,7,8,12,model
lab1.ecore_results.txt,3,4,7,model
Langage_while.ecore_results.txt,25,8,49,model
langc.ecore_results.txt,53,28,69,model
LEDSCodeModel.ecore_results.txt,9,15,8,model
left.ecore_results.txt,1,1,0,model
Lexertrace.ecore_results.txt,2,1,1,model
lib.ecore_results.txt,57,55,89,model
library.ecore_results.txt,5,19,3,model
library.orig.ecore_results.txt,5,6,9,model
library07.ecore_results.txt,5,5,7,model
library3-base.ecore_results.txt,5,10,6,model
LibraryDemo.ecore_results.txt,3,8,6,model
LibraryInteractionModel.ecore_results.txt,11,13,16,model
libraryModel_ecore.ecore_results.txt,5,2,7,model
library_eve.ecore_results.txt,1,1,0,model
library_karl.ecore_results.txt,0,0,0,model
Limp.ecore_results.txt,68,22,87,model
lims.ecore_results.txt,7,7,15,model
lMS.ecore_results.txt,2,2,1,model
lobj.ecore_results.txt,53,176,93,model
logo.ecore_results.txt,7,6,4,model
Lqn2umlTrace.ecore_results.txt,2,3,1,model
Lua.ecore_results.txt,47,15,75,model
LuaMT.ecore_results.txt,48,15,76,model
majordomo.ecore_results.txt,22,10,31,model
maksym.ecore_results.txt,8,9,10,model
mapkey.ecore_results.txt,3,3,2,model
MarsRover.ecore_results.txt,15,26,7,model
MARTE.ecore_results.txt,136,274,264,model
MARTE_Library.ecore_results.txt,44,48,45,model
martinfowlerdsl.ecore_results.txt,5,4,8,model
MathAssignmentLanguage.ecore_results.txt,4,1,5,model
MathCompiler.ecore_results.txt,10,6,12,model
MathDSL.ecore_results.txt,6,1,9,model
MathInterpeter.ecore_results.txt,7,1,10,model
